dINT,Ichi,Ni,San
307,,865,1720
308,,865,1725
309,,867,1728
310,,867,1733
311,271,870,1735
312,,870,1742
313,,872,1744
314,,872,1749
315,,875,1752
316,,875,1757
317,,878,1760
318,,878,1766
319,,881,1768
320,,881,1774
321,,884,1776
322,,884,1781
323,271,887,1784
324,,887,1790
325,,889,1793
326,,889,1798
327,,892,1800
328,,892,1806
329,,894,1809
330,,894,1815
331,271,897,1817
332,,897,1822
333,,899,1825
334,,899,1831
335,,902,1834
336,,902,1839
337,,906,1841
338,,906,1847
339,,908,1849
340,,908,1856
341,,908,1858
342,,908,1863
343,,908,1866
344,,908,1871
345,,908,1873
346,,908,1880
347,,908,1882
348,,908,1888
349,,908,1890
350,,908,1895
351,,908,1899
352,,908,1904
353,,908,1907
354,,908,1912
355,,908,1912
356,,908,1912
357,,908,1912
358,,908,1912
359,,908,1912
360,,908,1912
361,,,
362,271,908,1912
363,,,
364,,,
365,,908,1912
366,,,
367,,,
368,,,1912
369,,,
370,,,
371,,,1912
372,,,
373,,,
374,,,1912
375,,,
376,,,
377,,,1912
378,,908,1912
379,,,
380,,,1912
381,,908,1912
382,,,
383,,,1912
384,,,
385,,,1912
386,,,
387,,908,1912
388,,,
389,,,
390,,,
391,,,1912
392,,,
393,,,1912
394,,,
395,,,
396,,,1912
397,,,
398,,,
399,,,1912
400,,,
401,,,
402,,908,1912
403,,,
404,,,
405,,908,1912
406,,,1912
407,,,
408,,908,1912
409,,,
410,,,
411,,,1912
412,,,
413,,,
414,,,
415,,,1912
416,,,
417,,,
418,,,1912
419,,,
420,,,
421,,,1912
422,,,
423,,,
424,,,1912
425,,,
426,,,1912
427,,,
428,,,
429,,,1912
430,,,
431,,,
432,,,1912
433,,,
434,,,
435,271,908,1912
436,,,
437,,,
438,,,1912
439,,,
440,,,
441,,,
442,,908,1912
443,,,
444,,,
445,271,908,1912
